City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
253,San Carlos De Bariloche,AR,64.15,clear sky,-41.1456,-71.3082,Hotel Patagonia
254,Ancud,CL,54.23,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
257,Victoria,HK,75.25,broken clouds,22.2855,114.1577,Mini Hotel Central
259,Bati,ET,61.43,broken clouds,11.1833,40.0167,Meqdela Hotel
262,Ambilobe,MG,73.74,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
265,Barkhan,PK,68.99,scattered clouds,29.8977,69.5256,Sardar
266,Sinnamary,GF,76.39,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
271,Sankeshwar,IN,74.01,clear sky,16.2667,74.4833,Rajdhani Hotel
272,Pithoragarh,IN,47.5,clear sky,29.5833,80.2167,Hipostel Pithoragarh (Cafe Morrison)
274,Salme,NP,50.29,broken clouds,28.0369,85.0942,
278,Lanzhou,CN,49.21,clear sky,36.0564,103.7922,Lanzhou Amdo Xiangbala Hotel
282,Tura,IN,70.61,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
284,Watsa,CD,61.93,scattered clouds,3.0372,29.5355,Hôtel Le Pacifique
288,Algiers,DZ,53.42,broken clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
290,Tuatapere,NZ,65.57,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
295,Portland,US,51.91,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
298,Moroto,UG,69.21,overcast clouds,2.5345,34.6666,"Kara-Tunga, Karamoja Safari Camp"
299,Rusape,ZW,57.45,clear sky,-18.5278,32.1284,Surrey Lodge
301,Nouakchott,MR,71.53,clear sky,18.0858,-15.9785,HOTEL IMAN
302,Kuala Lipis,MY,76.95,overcast clouds,4.1842,102.0468,Lipis Centrepoint Hotel
303,Orange,US,70.47,few clouds,33.7,-117.7675,Meadows
306,Andros Town,BS,71.56,broken clouds,24.7,-77.7667,Hanks place
309,Pasni,PK,76.41,clear sky,25.2631,63.471,Kashmiri Hotal
310,Saint George,US,67.62,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
312,Beira,MZ,72.46,few clouds,-19.8436,34.8389,Beira Terrace Hotel
313,Nelson Bay,AU,77.0,clear sky,-32.7167,152.15,Mantra Nelson Bay
314,Tessalit,ML,72.81,clear sky,20.1986,1.0114,
316,Sao Filipe,CV,71.56,clear sky,14.8961,-24.4956,Hotel Xaguate
318,Rawson,AR,62.55,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
319,North Bend,US,54.25,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
320,Solok,ID,72.55,overcast clouds,-0.7918,100.6593,Mami Hotel & Restaurant
321,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Pirineos
326,Jiwani,PK,76.75,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
328,Byron Bay,AU,71.94,overcast clouds,-28.65,153.6167,Backpackers Inn
329,Formosa Do Rio Preto,BR,75.88,broken clouds,-11.0483,-45.1931,Porto Center Hotel
330,Calvinia,ZA,50.25,clear sky,-31.4707,19.776,Die Lemoenhuis
331,Aldergrove,CA,52.0,overcast clouds,49.058,-122.4709,Best Western Plus Country Meadows Inn
332,Adrar,MR,66.85,clear sky,20.5022,-10.0711,
333,Los Llanos De Aridane,ES,60.55,few clouds,28.6585,-17.9182,Valle Aridane
334,Mahajanga,MG,77.02,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
335,Lakes Entrance,AU,72.88,few clouds,-37.8811,147.981,The Esplanade Resort & Spa
339,Mala,PE,73.26,overcast clouds,-12.6581,-76.6308,Hotel Granda
343,Xunchang,CN,74.75,overcast clouds,28.4543,104.715,Jiabin Inn
344,Pierre,US,48.06,clear sky,44.3683,-100.351,Ramkota Hotel
347,Wynyard,AU,68.95,overcast clouds,-41.0,145.7167,Burnie Airport Motel
