City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
180,Ponta Do Sol,PT,32.6667,-17.1,54.72,72,67,26.93,broken clouds
181,Lazaro Cardenas,MX,17.9583,-102.2,75.85,73,0,8.39,clear sky
182,Missoula,US,47.0166,-113.8009,36.0,55,20,5.7,few clouds
183,Bowen,AU,-20.0167,148.2333,83.39,63,100,19.01,overcast clouds
184,Muroto,JP,33.2833,134.15,62.33,86,58,2.46,broken clouds
185,Mareeba,AU,-17.0,145.4333,76.44,94,100,4.61,overcast clouds
186,Naryan-Mar,RU,67.6713,53.087,-6.5,100,97,4.63,overcast clouds
187,Naze,JP,28.3667,129.4833,67.17,81,1,4.41,clear sky
188,Palmer,US,42.1584,-72.3287,30.61,44,40,13.8,scattered clouds
189,Khatanga,RU,71.9667,102.5,-4.04,97,100,10.67,overcast clouds
190,Bunia,CD,1.5667,30.25,60.82,94,77,2.93,broken clouds
191,Camacha,PT,33.0833,-16.3333,49.42,82,75,20.71,broken clouds
192,Zonguldak,TR,41.25,31.8333,18.79,93,11,4.07,few clouds
193,Mosquera,CO,4.7059,-74.2302,57.29,82,40,5.75,scattered clouds
194,Leku,ET,6.8667,38.45,60.04,54,100,4.5,overcast clouds
195,Esperance,AU,-33.8667,121.9,69.64,69,28,13.51,scattered clouds
196,Jumla,NP,29.2747,82.1838,44.96,28,23,5.93,few clouds
197,Praia,CV,14.9215,-23.5087,68.54,73,20,24.16,few clouds
198,Pundaguitan,PH,6.3711,126.1689,82.45,76,37,5.84,scattered clouds
199,Mixco,GT,14.6333,-90.6064,63.39,68,75,13.8,broken clouds
200,Haines Junction,CA,60.7522,-137.5108,12.9,80,100,4.32,overcast clouds
201,Biryusinsk,RU,55.9634,97.8235,-10.82,100,88,1.97,overcast clouds
202,Moron,AR,-34.6534,-58.6198,71.35,66,0,3.6,clear sky
203,Yumen,CN,40.2833,97.2,46.06,35,100,4.94,overcast clouds
204,Port Lincoln,AU,-34.7333,135.8667,77.83,50,45,9.28,scattered clouds
205,Kisangani,CD,0.5167,25.2,69.4,98,100,2.55,overcast clouds
206,Muros,ES,42.7762,-9.0603,45.84,94,100,7.65,light rain
207,Ostrovnoy,RU,68.0531,39.5131,25.92,90,100,2.71,overcast clouds
208,Kodino,RU,63.7198,39.6447,12.07,98,68,3.33,broken clouds
209,Udachnyy,RU,66.4167,112.4,-20.11,100,100,2.44,overcast clouds
210,Vila,PT,42.0304,-8.1588,36.48,94,100,4.5,overcast clouds
211,Bournemouth,GB,50.7205,-1.8795,39.85,92,2,5.1,clear sky
212,Kapit,MY,2.0167,112.9333,75.6,94,100,1.01,overcast clouds
213,Caravelas,BR,-17.7125,-39.2481,78.21,83,100,5.08,overcast clouds
214,Hamilton,US,39.1834,-84.5333,47.03,56,0,10.36,clear sky
215,Grass Valley,US,39.2191,-121.0611,56.82,55,100,1.99,overcast clouds
216,Maldonado,UY,-34.6667,-54.9167,60.19,88,0,4.07,clear sky
217,Vostok,RU,46.4856,135.8833,28.0,85,100,2.15,overcast clouds
218,Syracuse,IT,37.0881,15.2792,47.57,78,64,3.65,broken clouds
219,Bud,US,39.447,-86.1758,48.18,83,0,8.46,clear sky
220,Ericeira,PT,38.9627,-9.4156,55.35,89,37,11.05,scattered clouds
221,Kuah,MY,6.3265,99.8432,81.14,80,51,9.01,broken clouds
222,Morant Bay,JM,17.8815,-76.4093,82.02,82,5,10.36,clear sky
223,Labrea,BR,-7.2586,-64.7981,72.73,99,100,2.37,overcast clouds
224,Uhlove,UA,44.8215,33.6045,29.64,61,0,7.34,clear sky
225,Baixo Guandu,BR,-19.5189,-41.0158,74.57,86,2,4.72,clear sky
226,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,69.78,56,78,4.92,broken clouds
227,Arlit,NE,18.7369,7.3853,68.36,10,0,8.59,clear sky
228,Bayir,TR,37.2687,28.2167,23.52,54,0,4.36,clear sky
229,Roma,US,43.2128,-75.4557,26.74,70,100,4.61,overcast clouds
